"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q65","QID1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q30","Q29","Q28","AB1","AB3","AB4","AB5","AB8","AB10","AB11","V14","V16","V17","V19","V21","V22","D25","D26","D28","D31","D32","D34","D35","Q67","Q68","Q69","Q70","Q71","Q63","Q64","Q54","Q65.1","Q64.1","Q63.1","Q62","Q80","Q83","Q82","Q81","Q66","Q68.1","Q78","Q71.1","Q77","Q74","Q69.1","Q70.1","Q67.1","opp","gc","term","cintid","ProjectToken","gid","sname","TolunaEnc","Q_BallotBoxStuffing","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RecaptchaScore","Q_RelevantIDFraudScore","Q_TotalDuration","Q_CHL","GeoIP","careless_long","irv","irv2","flag"
"92",94,"2021-10-11 07:48:43","2021-10-11 07:52:36",0,"98.242.215.175",100,233,1,"2021-10-11 07:52:36","R_xmxjhO0ukPek8il",NA,NA,NA,NA,26.2153930664062,-80.2710037231445,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,6,5,5,5,6,6,6,6,6,6,7,6,4,5,5,5,3,3,5,5,5,5,4,4,5,4,5,6,6,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,4,1,8,4,2,"Engineering ",3,5,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"8c07f1c3-326f-3d3c-5c77-c62c0f42762e","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,233,"anonymous",NA,12,0.577350269189626,NA,"Flagged"
"93",95,"2021-10-11 07:47:00","2021-10-11 07:52:38",0,"97.88.58.238",100,338,1,"2021-10-11 07:52:39","R_bpgKKTwjrByFfA5",NA,NA,NA,NA,45.6360015869141,-94.2170028686523,"anonymous","EN",4,3,6,3,2,4,3,4,4,3,3,3,4,5,3,4,4,4,5,3,3,4,4,4,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,5,1,5,5,5,5,2,3,3,4,3,2,14,2,5,"Pca",4,6,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"13d7468f-635a-b47f-8c3b-71fc2f542662","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,338,"anonymous",NA,4,NA,0.577350269189626,"use"
"94",96,"2021-10-11 07:48:55","2021-10-11 07:52:44",0,"104.191.189.247",100,228,1,"2021-10-11 07:52:44","R_3nl2o0qm5kmA7Yr",NA,NA,NA,NA,35.1654968261719,-101.885696411133,"anonymous","EN",4,5,6,5,2,5,4,5,2,5,4,5,7,6,7,6,7,6,7,6,7,7,6,6,7,7,6,7,6,5,6,5,6,5,6,5,5,6,5,6,5,6,6,5,6,5,6,5,6,5,4,5,5,5,4,4,NA,NA,NA,NA,NA,5,4,5,4,1,3,3,3,"Walmart ",2,2,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"6ace9e20-5c18-53ef-9594-a9e5d15624cd","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,228,"anonymous",NA,3,0.577350269189626,1.4142135623731,"Flagged"
"95",97,"2021-10-11 07:46:06","2021-10-11 07:52:55",0,"184.91.88.109",100,409,1,"2021-10-11 07:52:56","R_26gcHvvAlRLkvEf",NA,NA,NA,NA,28.5977935791016,-81.3023986816406,"anonymous","EN",4,5,6,4,3,4,4,5,2,4,3,4,5,5,4,4,5,4,5,4,3,4,4,5,4,4,3,4,4,4,6,6,2,4,5,3,4,4,5,4,4,3,3,4,5,4,5,6,5,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,1,2,3,3,4,1,13,3,2,"director",2,3,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"0eaacceb-2c70-25d0-f15f-fb8159654c06","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,409,"anonymous",NA,3,0.5,1.25830573921179,"use"
"96",98,"2021-10-11 07:42:05","2021-10-11 07:52:58",0,"99.168.101.80",100,652,1,"2021-10-11 07:52:58","R_1q9aBIU21dnOZKM",NA,NA,NA,NA,32.6956939697266,-97.0906982421875,"anonymous","EN",4,4,6,2,2,4,4,4,4,2,4,4,6,7,7,7,7,1,7,6,6,7,6,7,6,6,7,6,7,5,5,2,2,5,2,5,2,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,2,5,3,3,NA,NA,NA,NA,NA,2,2,2,2,1,11,4,1,"Senior Remit Analyst",2,6,8,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"12ef7070-edd0-5fc0-b4c4-47c4c2f0959d","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,652,"anonymous",NA,7,1.5,1,"use"
"97",99,"2021-10-11 07:47:50","2021-10-11 07:53:02",0,"174.197.137.124",100,311,1,"2021-10-11 07:53:02","R_2z8EjSCCJ5QbK7f",NA,NA,NA,NA,40.6739959716797,-73.970100402832,"anonymous","EN",4,3,6,3,1,4,4,5,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,6,5,4,4,5,5,6,5,6,6,6,5,5,5,6,6,6,5,5,5,2,5,4,3,3,3,2,2,2,3,5,4,5,1,9,2,2,"Nurse ",3,3,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"2f052201-ec8f-dbff-5eb5-152e2df588ec","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,311,"anonymous",NA,3,0.5,1.29099444873581,"use"
"98",100,"2021-10-11 07:49:58","2021-10-11 07:53:07",0,"167.224.202.238",100,188,1,"2021-10-11 07:53:07","R_PTzZdOzfdPla97X",NA,NA,NA,NA,36.018798828125,-94.0048980712891,"anonymous","EN",4,4,6,2,5,4,3,3,1,1,4,5,6,3,4,2,1,3,5,6,3,6,7,2,5,3,2,7,4,3,6,2,4,1,4,5,3,4,2,1,6,5,1,5,6,1,3,5,6,NA,NA,NA,NA,NA,NA,NA,1,3,4,1,4,4,5,1,4,1,2,6,3,"Chief executive ",1,2,8,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"1b518b50-a763-5203-0ae4-bc7a24a1e7bc","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,188,"anonymous",NA,2,1.29099444873581,1.15470053837925,"Flagged"
"99",101,"2021-10-11 07:47:33","2021-10-11 07:53:08",0,"73.210.150.207",100,334,1,"2021-10-11 07:53:08","R_3ffWZYwYcbZMf7r",NA,NA,NA,NA,42.164306640625,-88.3124008178711,"anonymous","EN",4,3,3,4,3,3,4,4,3,4,4,3,4,4,5,4,3,4,3,3,3,4,3,4,3,3,4,3,4,5,4,3,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,4,3,5,5,5,5,5,5,2,2,2,2,1,1,4,4,4,4,6,4,6,2,"contractor",4,6,8,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"fc997122-26ae-8139-c296-46b29bae66cf","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,334,"anonymous",NA,6,0.5,0.5,"use"
"100",102,"2021-10-11 07:44:33","2021-10-11 07:53:11",0,"47.28.249.119",100,517,1,"2021-10-11 07:53:11","R_3fDaZjMV0MxRzFz",NA,NA,NA,NA,41.1820068359375,-104.809303283691,"anonymous","EN",4,4,6,4,4,4,3,4,3,4,4,4,4,5,7,6,6,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,2,1,4,2,2,4,6,7,6,3,"Retired Military",2,6,8,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"f7c3733d-8b3e-9125-9889-44e89f20eed1","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,517,"anonymous",NA,9,0,0.577350269189626,"Flagged"
"101",103,"2021-10-11 07:42:01","2021-10-11 07:53:15",0,"47.220.33.249",100,673,1,"2021-10-11 07:53:15","R_3Jt92J2gLuIQrsF",NA,NA,NA,NA,38.3500061035156,-81.6092987060547,"anonymous","EN",4,4,6,4,4,4,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,2,5,5,5,2,4,5,6,5,5,2,4,5,3,5,3,5,5,5,2,2,2,1,5,5,5,5,2,3,3,3,3,1,13,3,2,"Customer Service/Planning Specialist",3,6,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"8364f543-db47-dc9a-3ff7-c24f36859cae","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,673,"anonymous",NA,7,1.4142135623731,0,"Flagged"
"102",104,"2021-10-11 07:47:57","2021-10-11 07:53:16",0,"74.65.75.2",100,318,1,"2021-10-11 07:53:16","R_tRhPneBwYUxaGBj",NA,NA,NA,NA,42.4508972167969,-73.2494964599609,"anonymous","EN",4,4,7,3,4,5,4,4,4,4,4,4,7,6,7,7,7,7,7,7,7,7,7,7,6,7,6,5,7,5,6,1,5,5,2,5,2,5,5,5,4,5,6,5,5,5,5,6,6,5,4,5,2,5,4,1,5,5,5,3,2,1,1,1,1,1,13,5,3,"Accountant",4,6,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"f1192076-97e0-e028-42c2-17325ddcf79b","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,318,"anonymous",NA,10,1.5,0,"Flagged"
"103",105,"2021-10-11 07:46:55","2021-10-11 07:53:17",0,"129.59.122.77",100,382,1,"2021-10-11 07:53:18","R_2Qg403fOJTtuaCI",NA,NA,NA,NA,36.1871948242188,-86.7825012207031,"anonymous","EN",4,3,6,3,2,3,3,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,1,1,5,5,5,3,2,3,4,3,4,1,15,2,3,"vp",1,2,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"00aca3d4-53b7-51f9-f760-948761b9143a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,382,"anonymous",NA,3,NA,0.577350269189626,"use"
"104",106,"2021-10-11 07:50:14","2021-10-11 07:53:27",0,"68.198.23.238",100,192,1,"2021-10-11 07:53:27","R_1H0gX7MhE5ouvQa",NA,NA,NA,NA,40.5827941894531,-73.9532012939453,"anonymous","EN",4,4,6,5,1,5,5,5,1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,4,3,3,NA,NA,NA,NA,NA,3,5,5,5,8,4,1,4,"Consultant ",1,3,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"11536239-f767-c07c-088d-5578e03992d5","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,192,"anonymous",NA,20,0,2,"Flagged"
"105",107,"2021-10-11 07:45:42","2021-10-11 07:53:29",0,"69.246.176.47",100,466,1,"2021-10-11 07:53:29","R_3LZlVV3fWU9Z0G4",NA,NA,NA,NA,30.4273986816406,-84.2580032348633,"anonymous","EN",4,2,6,2,1,2,1,2,2,1,1,2,3,2,4,3,2,4,1,1,3,1,3,5,3,3,7,4,7,5,3,4,1,2,2,6,6,4,5,2,5,4,2,1,2,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,2,5,5,4,4,8,4,1,3,"Admin Assistant",4,5,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"ef039737-867d-735f-5883-a028db69e2da","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,466,"anonymous",NA,3,1.70782512765993,0.577350269189626,"use"
"106",108,"2021-10-11 07:50:03","2021-10-11 07:53:31",0,"68.35.88.199",100,208,1,"2021-10-11 07:53:31","R_2pQ59JbJMcRzWxK",NA,NA,NA,NA,34.7819976806641,-86.6084976196289,"anonymous","EN",4,5,6,3,3,5,4,4,3,4,4,4,4,7,6,6,7,6,5,5,7,6,5,5,7,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,3,4,3,3,3,4,5,3,4,5,4,3,1,13,3,2,"Warehouse associate ",2,2,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"44b1a528-e0a6-7a53-ea9c-929a43fa67c4","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,208,"anonymous",NA,4,NA,0.5,"Flagged"
"107",109,"2021-10-11 07:46:14","2021-10-11 07:53:36",0,"71.224.21.4",100,441,1,"2021-10-11 07:53:36","R_2430KC6smvDumB7",NA,NA,NA,NA,40.0345001220703,-75.1193008422852,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,2,3,3,3,1,2,2,2,"field tech  ",4,6,4,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"622f5a59-4377-b431-74ed-6d04981d268c","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,441,"anonymous",NA,20,0,NA,"Flagged"
"108",110,"2021-10-11 07:48:34","2021-10-11 07:53:38",0,"74.131.160.14",100,303,1,"2021-10-11 07:53:38","R_1kXPUlw2Vl64bpW",NA,NA,NA,NA,37.8867950439453,-84.5667037963867,"anonymous","EN",4,5,2,3,3,3,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,2,5,5,2,NA,NA,NA,NA,NA,5,5,5,5,2,8,3,2,"Fitness",4,3,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"44e30487-434d-ca71-b833-33c8d07c266b","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,303,"anonymous",NA,28,0,0.577350269189626,"Flagged"
"109",111,"2021-10-11 07:48:33","2021-10-11 07:53:38",0,"173.245.246.30",100,305,1,"2021-10-11 07:53:39","R_TvzxVMEZvtDDqG5",NA,NA,NA,NA,41.7454071044922,-86.1387023925781,"anonymous","EN",4,4,6,4,3,4,4,4,2,4,4,4,3,6,6,4,6,5,6,5,5,6,6,6,5,5,6,5,6,5,5,4,4,4,4,5,3,3,5,5,5,5,6,6,6,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,2,2,2,2,2,1,11,4,3,"Network Design Professional",4,5,6,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"5e482f9e-dad2-e1e7-132a-18634b38a273","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,305,"anonymous",NA,5,1.15470053837925,1,"use"
"110",112,"2021-10-11 07:48:31","2021-10-11 07:53:41",0,"75.81.2.153",100,309,1,"2021-10-11 07:53:41","R_3m9aCliryaFWsAU",NA,NA,NA,NA,39.1994934082031,-94.526496887207,"anonymous","EN",4,4,6,4,4,4,4,3,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,3,4,3,4,4,4,5,4,4,5,5,5,5,5,4,5,5,5,5,4,5,4,2,1,1,1,1,1,1,1,2,1,1,7,3,1,"ANALYST ",4,5,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"6675db8d-11c1-20ba-2e39-ec5e25c67461","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,309,"anonymous",NA,7,0.5,0.816496580927726,"use"
"111",113,"2021-10-11 07:45:56","2021-10-11 07:53:43",0,"146.115.34.242",100,466,1,"2021-10-11 07:53:43","R_2P6eDoNuCYVUDHa",NA,NA,NA,NA,42.5334014892578,-70.9653015136719,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,6,5,4,5,5,5,5,2,5,5,5,4,3,4,4,5,4,3,4,4,5,5,3,4,4,4,4,4,4,3,4,5,4,3,5,5,5,4,4,5,3,5,5,5,4,3,4,4,5,4,8,10,2,1,"Staff",2,2,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"a28baaf6-cf14-41d4-d042-9da0cc1cab1a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,466,"anonymous",NA,6,0.816496580927726,NA,"use"
"112",114,"2021-10-11 07:48:30","2021-10-11 07:53:44",0,"68.184.71.78",100,313,1,"2021-10-11 07:53:44","R_3HjgaA2GUxvVPdN",NA,NA,NA,NA,32.3735961914062,-86.1832962036133,"anonymous","EN",4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,4,4,4,4,3,3,3,4,5,2,5,2,5,3,2,5,5,5,5,1,3,3,3,3,6,10,1,4,"Housewife",4,3,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"b4f35e43-a0f6-96d7-a8f7-69d82283d8ae","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,313,"anonymous",NA,16,0.5,0,"Flagged"
"113",115,"2021-10-11 07:47:42","2021-10-11 07:53:45",0,"107.77.208.153",100,363,1,"2021-10-11 07:53:45","R_12GxW38KesgVRJw",NA,NA,NA,NA,41.8764038085938,-87.6132965087891,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,6,4,4,2,1,3,7,5,7,4,2,6,2,7,4,3,3,4,2,3,5,3,5,3,3,5,4,5,3,4,5,3,6,4,5,4,5,5,5,5,2,5,5,5,2,2,5,5,4,5,1,4,2,2,"Installation manager ",3,6,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"6030c5bc-9454-3bfd-6b08-f21bad66f04d","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,363,"anonymous",NA,4,1,NA,"use"
"114",116,"2021-10-11 07:46:23","2021-10-11 07:53:47",0,"174.100.217.187",100,444,1,"2021-10-11 07:53:47","R_3nf4BmS0q9QCCeh",NA,NA,NA,NA,41.4712066650391,-81.5248031616211,"anonymous","EN",4,3,6,2,4,2,2,2,2,2,2,2,4,3,5,4,2,4,2,2,4,4,5,5,4,4,4,2,3,5,5,2,5,5,5,5,4,4,4,5,5,2,5,2,3,3,2,2,4,5,4,5,3,5,4,2,NA,NA,NA,NA,NA,4,5,4,4,2,10,2,1,"customer service representive",4,2,6,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"7138f1e8-cfb9-1fa0-635c-c613abab8804","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,444,"anonymous",NA,7,0.5,0,"Flagged"
"115",117,"2021-10-11 07:47:35","2021-10-11 07:53:48",0,"67.162.32.137",100,372,1,"2021-10-11 07:53:48","R_3EbubwEEdFmqdT5",NA,NA,NA,NA,41.7454071044922,-86.1387023925781,"anonymous","EN",4,3,6,3,3,3,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,3,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,5,5,4,2,5,2,2,5,5,5,2,2,4,4,4,4,7,4,3,2,"Customer service ",4,5,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"e9fa460d-cb3e-b55a-a1b9-71d112318ce0","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,372,"anonymous",NA,7,0.577350269189626,0.5,"use"
"116",118,"2021-10-11 07:48:07","2021-10-11 07:53:51",0,"65.31.219.214",100,344,1,"2021-10-11 07:53:52","R_2D5EgWj64p9k4za",NA,NA,NA,NA,39.1994934082031,-94.526496887207,"anonymous","EN",4,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,5,5,5,5,2,2,3,3,3,6,10,2,3,"Ironer",4,3,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"101d2b15-4542-ef70-46a1-1c36b9bac1f9","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,344,"anonymous",NA,12,0.5,0,"Flagged"
"117",119,"2021-10-11 07:47:53","2021-10-11 07:53:52",0,"174.104.87.204",100,358,1,"2021-10-11 07:53:52","R_2CuXJYmLj0vjJbZ",NA,NA,NA,NA,40.4835968017578,-81.4386978149414,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,4,4,3,3,4,4,4,5,3,4,5,3,5,4,3,3,2,2,3,5,5,3,4,3,5,3,3,2,2,2,3,4,4,5,5,5,1,5,5,5,5,5,5,5,3,4,4,4,4,2,10,2,2,"Gas Station Clerk",4,3,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"ff680412-d7ab-c78b-33a6-33435adb97ff","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,358,"anonymous",NA,7,0.957427107756338,NA,"use"
"118",120,"2021-10-11 07:49:38","2021-10-11 07:53:54",0,"162.249.157.216",100,255,1,"2021-10-11 07:53:54","R_1fZRJycXUn9L2R0",NA,NA,NA,NA,29.5798950195312,-95.6084976196289,"anonymous","EN",4,3,3,3,3,3,2,3,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,3,3,4,2,4,3,2,4,3,4,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,3,2,4,1,8,2,2,"quality assurance",3,6,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"943fbe0c-daf1-6d27-64b8-8914e330bee1","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,255,"anonymous",NA,5,0.957427107756338,0.816496580927726,"Flagged"
"119",121,"2021-10-11 07:47:10","2021-10-11 07:53:56",0,"63.234.235.174",100,406,1,"2021-10-11 07:53:56","R_22yKL4wbQ1wyxPl",NA,NA,NA,NA,35.0312957763672,-112.544097900391,"anonymous","EN",4,4,6,4,2,5,3,4,4,4,3,4,6,6,6,6,6,4,6,6,6,6,5,6,5,6,6,5,6,3,5,4,3,5,2,5,2,5,5,4,4,5,6,6,5,6,5,4,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,1,1,1,1,1,10,2,4,"Manager",2,3,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"d34b8c83-3792-7f5e-1037-bb607a92726f","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,406,"anonymous",NA,5,1.4142135623731,0.5,"use"
"120",122,"2021-10-11 07:49:27","2021-10-11 07:54:08",0,"128.194.2.194",100,280,1,"2021-10-11 07:54:08","R_3magq4VwMkantU9",NA,NA,NA,NA,30.5478057861328,-96.2714996337891,"anonymous","EN",4,4,2,2,1,4,3,2,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,1,1,1,3,4,3,4,1,2,4,6,4,4,5,5,3,6,5,5,5,2,5,3,2,4,2,2,1,2,2,1,1,1,1,5,5,2,"Graduate Student Specialist III",2,2,8,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"d34f329d-c4cf-e631-1429-05640f28ac70","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,280,"anonymous",NA,3,1.4142135623731,0.816496580927726,"Flagged"
"121",123,"2021-10-11 07:46:28","2021-10-11 07:54:14",0,"76.26.244.151",100,465,1,"2021-10-11 07:54:14","R_cx3wAix6ypeXOGl",NA,NA,NA,NA,28.8851013183594,-81.3093032836914,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,4,4,1,1,4,7,5,6,2,2,6,1,7,5,3,2,1,1,2,6,4,4,4,2,5,2,1,2,2,4,1,4,3,5,5,5,4,5,4,3,5,5,5,4,2,5,4,3,4,1,4,1,2,"Executive Assistant",2,7,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"afe39831-5e2e-7755-b885-afc81b251adc","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,465,"anonymous",NA,3,1,NA,"use"
"122",124,"2021-10-11 07:50:43","2021-10-11 07:54:15",0,"47.38.19.98",100,211,1,"2021-10-11 07:54:15","R_3hG5ig4EYvcrzqO",NA,NA,NA,NA,30.485595703125,-90.0977020263672,"anonymous","EN",4,3,6,4,3,4,4,3,2,4,3,4,2,5,6,7,7,7,7,7,7,7,7,7,2,4,4,4,3,4,5,3,5,5,5,6,4,5,6,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,NA,NA,NA,NA,NA,1,1,2,2,1,5,2,2,"Education ",2,2,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"e36e4ad9-d933-e12c-356d-7d45e6e79935","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,211,"anonymous",NA,9,0.957427107756338,0.957427107756338,"Flagged"
